abduct ,/v./@綁架;
lichen ,/n./@地衣;,/n./@青苔;
likely ,/adj./@有可能的;
linear ,/adj./@線性的;,/adj./@線狀的;
linger ,/v./@徘徊;,/v./@逗留;,/v./@拖延;
lining ,/n./@夾裡;,/n./@襯裡;
liquid ,/adj./@液態的;
liquor ,/n./@酒;
listen ,/vi./@聽;
litter ,/n./@垃圾;,/v./@丟@垃圾;
little ,/adj./@小的;
lizard ,/n./@蜥蜴;
loathe ,/v./@厭惡;
locate ,/v./@定位;
logout ,/n./@注銷;,/n./@登出;,/n./@退出;
London ,/n./@倫敦;
lonely ,/adj./@孤獨的;,/adj./@寂寞的;
lotion ,/n./@洗液;
lounge ,/n./@休息室;
lovely ,/adj./@可愛的;
lumber ,/v./@伐木;,/n./@木材;
lunacy ,/n./@精神失常;,/n./@愚蠢;
luring ,/adj./@吸引人的;
luxury ,/n./@奢侈;,/n./@奢侈品;
lyceum ,/n./@演講廳;,/n./@音樂廳;,/n./@會堂;
maiden ,/n./@少女;,/adj./@未婚的;
malice ,/n./@惡意;,/n./@怨恨;,/n./@預謀;
malign ,/v./@誹謗;,/v./@污衊;,/v./@中傷;
mallow ,/n./@錦葵;
mammal ,/n./@哺乳動物;
manage ,/v./@處理;,/v./@管理;,/v./@控制;
manner ,/n./@方式;,/n./@習慣;
mantle ,/v./@覆蓋;,/n./@斗篷;
manual ,/adj./@手工的;,/n./@手冊;,/n./@指南;
manure ,/n./@肥料;,/n./@糞肥;,/v./@施肥於;
margin ,/n./@邊;,/n./@差額;,/n./@余地;,/n./@頁面空白;
marine ,/adj./@海運的;,/adj./@海軍的;
marker ,/n./@標志;
market ,/n./@市場;,/n./@銷路;
marrow ,/n./@髓;,/n./@骨髓;,/n./@精華;,/n./@活力;
martyr ,/n./@烈士;
marvel ,/v./(對...感到)@驚訝;,/v./@欽佩;
master ,/n./@主人;
matter ,/n./@問題;,/n./@事情;
mature ,/adj./@成熟的;
mayday ,/n./@求救信號;
meadow ,/n./@草地;,/n./@牧場;
meddle ,/v./@干預;,/v./@管閑事;
median ,/adj./@中間的;
medium ,/n./@手段;,/n./@媒體;
mellow ,/adj./@圓潤的;,/adj./@柔和的;,/adj./@成熟的;
melody ,/n./@旋律;
member ,/n./@成員;,/n./@會員;
memoir ,/n./@回憶録;,/n./@自傳;
memory ,/n./@記憶;,/n./@記憶力;,/n./@紀念;,/n./@存儲;
menace ,/v./@威脅;,/v./@恐嚇;,/n./@威脅;,/n./@恐嚇;
mental ,/adj./@精神的;
merely ,/adv./@僅;
meteor ,/n./@流星;,/n./@大氣現象;
method ,/n./@方法;
middle ,/adj./@中間的;
midget ,/n./@矮子;,/n./@侏儒;
mildew ,/n./@霉;,/v./@發霉;
milieu ,/n./@環境;
miller ,/n./@磨坊主;
mingle ,/v./@混合;,/v./@混入;
minion ,/n./@下屬;,/n./@小卒;,/n./@僕從;,/n./@奴才;,/n./@部下;,/n./@寵兒;,/n./@寵臣;
minute ,/n./@分鍾;
mirror ,/n./@鏡子;
misery ,/v./@苦難;
mishap ,/n./@厄運;
mister ,/n./@先生;,/n./@平民;
modest ,/adj./@謙虛的;,/adj./@質樸的;
modify ,/v./@修正;,/v./@修飾;
module ,/n./@模塊;,/n./@組件;
modulo ,/v./@求餘;,/v./@按模;,/n./@模數;
moment ,/n./@時刻;
Monday ,/n./@星期一;
monkey ,/n./@猴子;
morale ,/n./@士氣;,/n./@斗志;
morbid ,/adj./@病態的;,/adj./@消極的;,/adj./@恐怖的;
morose ,/adj./@鬱悶的;,/adj./@孤僻的;
mortal ,/adj./@凡人的;,/adj./@會死的;
mosque ,/n./@清真寺;
mother ,/n./@母親;
motion ,/n./@運動;
motive ,/n./@動機;,/n./@目的;
mouldy ,/n./@魚雷;,/adj./@發霉的;
muffle ,/v./@蒙住;
mumble ,/v./@咕噥;
murder ,/v./@謀殺;
murmur ,/v./@低聲說;
muscle ,/n./@肌肉;
museum ,/n./@博物館;,/n./@陳列館;
mutant ,/n./@突變體;,/adj./@突變的;
mutate ,/v./@變化;,/v./@改變;,/v./@突變;
mutter ,/v./@咕噥;
mutual ,/adj./@相互的;
myself ,/pron./@我自己;
mystic ,/adj./@神秘的;
napkin ,/n./@餐巾;,/n./@餐巾紙;
narrow ,/adj./@窄的;
nation ,/n./@國家;,/n./@民族;
nature ,/n./@自然;
nausea ,/n./@噁心;,/n./@暈船;,/n./@厭惡;
nearby ,/adj./@附近的;
needle ,/n./@針;
nephew ,/n./@侄子;,/n./@外甥;
nestle ,/v./@安頓;,/v./@建巢;
neural ,/adj./@神經的;
neuter ,/adj./@中性的;,/n./@無性;
nicety ,/n./@精密;
nickel ,/n./@鎳幣;
nimble ,/adj./@敏捷的;
nipple ,/n./@乳頭;
nobody ,/pron./@沒有人;
normal ,/adj./@正常的;
notary ,/n./@公證人;
notice ,/v./@註意;,/n./@註意;,/n./@通知;
notify ,/v./@通知;
notion ,/n./@概念;,/n./@意圖;
nought ,/n./@零;
novice ,/n./@新手;,/n./@初学者;
nuance ,/n./@細微差別;
nudity ,/n./@裸體;,/n./@裸露;
number ,/n./@數字;,/n./@號碼;,/n./@若干;
object ,/n./@目標;,/v./@反對;
oblige ,/v./@迫使;,/v./@施恩@惠;
obsess ,/v./@迷住;,/v./@迷戀;,/v./@著迷;
obtain ,/v./@獲得;,/v./@習得;
obtuse ,/adj./@遲鈍的;,/adj./@圓頭的;,/adj./@不鋒利的;
occupy ,/v./@佔用;,/v./@佔據;,/v./@佔領;,/v./@擔任;
ocular ,/adj./@眼睛的;,/adj./@視覺的;
odious ,/adj./@可憎的;
offend ,/vt./@冒犯;
office ,/n./@辦公室;
online ,/adj./@在綫;
opaque ,/adj./@不透明的;
opiate ,/adj./@含鴉片的;,/adj./@麻醉的;,/n./@麻醉劑;
oppose ,/v./@反對;
option ,/n./@選項;
oracle ,/n./@神諭;
orange ,/n./@橘子;
orchid ,/n./@蘭花;,/n./@淡紫色;,/adj./@淡紫色的;
ordain ,/v./@命令;,/v./@任命;,/v./@注定;
orgasm ,/n./@性髙潮;
orient ,/adj./@東方的;
origin ,/n./@起源;
ornate ,/adj./@華麗的;,/adj./@裝飾的;
orphan ,/n./@孤兒;
others ,/pron./@其他人;
ouster ,/n./@驅逐;,/n./@罷黜;,/n./@剝奪;
outset ,/n./@開始;
overdo ,/v./@過火;,/v./@誇張;
pablum ,/n./@嬰兒麥片;
pacify ,/vt./@使平靜;
packet ,/n./@小包;,/n./@小盒;
paddle ,/v./@劃槳;,/n./@槳;,/v./@攪;
palace ,/n./@宮殿;
palate ,/n./@味覺;
parade ,/n./@遊行;
parcel ,/v./@分配;,/n./@包裹;
pardon ,/v./@寬恕;
parent ,/n./@父母;
parity ,/n./@同等;,/n./@相等;,/n./@平價;
parlay ,/v./(使)@增値;
parley ,/v./@談判;,/v./@會談;
parlor ,/n./@客廳;
parole ,/n./@誓言;,/n./@假釋;
parrot ,/n./@鸚鵡;
partly ,/adv./@部分地;
passby ,/v./@旁路;,/v./@經過;
pastel ,/n./@粉蠟筆;
pastry ,/n./@酥皮糕點;
patent ,/n./@專利;,/adj./@明顯的;
patrol ,/n./@巡邏;,/n./@巡邏隊;,/n./@偵察隊;
patron ,/n./@贊助人;,/n./@主顧;
peanut ,/n./@花生;
pebble ,/n./@卵石;
peking ,/n./@北京;
pencil ,/n./@鉛筆;
people ,/n./@人;
pepper ,/n./@胡椒;
period ,/n./@一段時間;,/n./@學識;,/n./@記號;
perish ,/v./@死亡;,/v./@毀滅;
permit ,/v./@允許;
person ,/n./@人;
petrol ,/n./@汽油;
phrase ,/n./@短語;
phylum ,/n./@門;,/n./@語係;
piazza ,/n./@廣場;
pickle ,/n./@泡菜;
pierce ,/v./@刺穿;,/v./@透入;
pigeon ,/n./@鴿子;
pilfer ,/v./@偷竊;
pillar ,/n./@支柱;,/n./@柱子;
pillow ,/n./@枕頭;
pimple ,/n./@疙瘩;,/n./@丘疹;,/n./@面皰;
piracy ,/n./@盜版;,/n./@盜取;
pirate ,/n./@海盜;
pistol ,/n./@手槍;
plague ,/n./@瘟疫;,/v./@折磨;
planet ,/n./@星球;,/n./@行星;
please ,/v./@請;
pledge ,/v./@保證;,/v./@发誓;
plenty ,/adj./@大量的;
plight ,/n./@苦痛;
plunge ,/v./@猛投;,/v./@猛跌;,/v./@猛衝;
plural ,/adj./@複數的;,/n./@複數;
pocket ,/n./@口袋;
poetic ,/adj./@詩的;
poetry ,/n./@詩歌;
poison ,/n./@毒;,/v./@下毒;
police ,/n./@警察;
policy ,/n./@政策;
polish ,/v./@擦亮;,/v./@磨光;,/v./@潤色;
ponder ,/v./@考慮;
poplar ,/n./@白楊;
popper ,/n./@爆竹;,/n./@炮手;,/n./@爆玉米花機;
portal ,/n./@門戶;,/n./@入口;
possum ,/n./@負鼠;,/v./@裝傻;
postal ,/adj./@郵政的;
potato ,/n./@土豆;
potion ,/n./@飲劑;
powder ,/n./@粉末;,/n./@火藥;
praise ,/v./@贊揚;
prance ,/v./@騰躍;
preach ,/v./@佈道;
prefix ,/n./@前綴;,/v./@加前綴;
pretty ,/adv./@很;,/adj./@漂亮的;
primal ,/adj./@原始的;
primly ,/adv./@拘謹地;
prison ,/n./@監獄;
profit ,/n./@利潤;,/v./@獲利;
prompt ,/v./@敏捷的;,/v./@促進;,/v./@提示;,/adj./@准時的;
pronto ,/adj./@立卽的;
propel ,/v./@推進;,/v./@推動;
proper ,/adj./@適合的;
pseudo ,/adj./@假的;,/adj./@冒充的;,/n./@偽君子;
psyche ,/n./@靈魂;,/n./@心智;
public ,/adj./@公開的;
pummel ,/v./@擊打;
punish ,/v./@懲罰;
purify ,/v./@净化;,/v./@純化;
purple ,/adj./@紫色的;,/n./@紫色;
pursue ,/v./@追求;
putrid ,/adj./@腐臭的;,/adj./@腐爛的;
puzzle ,/v./@使困惑;,/n./@謎;
quadra ,/adj.//pref./@四的;
quartz ,/n./@石英;
quaver ,/v./@顫抖;
quench ,/v./@熄滅;
quiver ,/v./@顫抖;
quorum ,/n./@法定人數;
rabbit ,/n./@兔子;
racket ,/n./@喧鬧;
radial ,/adj./@放射的;,/adj./@輻射的;
radius ,/n./@半徑;
raffle ,/v./@抽彩售貨;
raisin ,/n./@葡萄乾;
ramble ,/v./@漫步;,/n./@漫步;
random ,/adj./@隨機的;,/adj./@任意的;
ranger ,/n./@巡邏員;
rarely ,/adj./@不經常的;
rascal ,/n./@流氓;,/n./@惡棍;,/n./@無賴;
rather ,/adv./@相當;,/adv./@寧願;,/adv./@更;
ratify ,/v./@批准;,/v./@認可;
ration ,/n./@配給;,/n./@定量;,/n./@口糧;
ravage ,/v./@毀壞;,/v./@破壞;,/n./@破壞;
really ,/adv./@眞的;,/adv./@眞實地;
realty ,/n./@房地產;,/n./@不動產;
reason ,/n./@原因;
rebate ,/n./@囘扣;,/n./@折扣;
rebuke ,/v./@斥责;
recall ,/v./@想起;,/v./@回憶;,/v./@找回;,/v./@撤銷;
recast ,/v./@重铸;
recede ,/v./@歸還;,/v./@撤回;,/v./@后退;,/v./@减弱;
recent ,/adj./@最近的;
recess ,/n./@休庭;
recipe ,/n./@食譜;,/n./@配方;,/n./@秘訣;
recite ,/v./@背誦;,/v./@朗誦;,/v./@講述;
recoil ,/v./@畏縮;,/v./@反沖;,/v./@後座;
record ,/n.//v./@記錄;,/v./@録制;
redeem ,/vt./@兌換;,/v./@贖回;,/v./@挽回;,/v./@履行;,/v./@補償;,/v./@恢復;
reduce ,/v./@減少;
refine ,/v./@完善;
reflow ,/v./@流回;,/v./@再漲;
reform ,/v./@改革;
refuge ,/n./@庇護所;
refund ,/n./@退款;,/n./@退還;,/n./@償還;
refuse ,/v./@拒絕;
regard ,/v./@視爲;
regent ,/n./@攝政王;,/n./@統治者;
regime ,/n./@政體;,/n./@制度;
region ,/n./@地域;,/n./@範圍;
regret ,/v./@後悔;
reject ,/v./@拒絕;
relate ,/v./@相关;
relent ,/v./@變溫和;
relief ,/n./@放松;
relish ,/n./@滋味;,/n./@風味;,/n./@品味;,/n./@食慾;
reload ,/v./@重新加載;
remain ,/v./@剩余;
remark ,/v./@話語;
remedy ,/n./@治療;,/n./@補救;
remind ,/v./@回憶;,/v./@提醒;
remove ,/v./@移動;,/v./@去除;,/v./@除去;,/v./@罢免;
rename ,/n./@重命名;
render ,/vt./@使得;,/v./@給予;
repair ,/v./@修理;
repeal ,/v./@廢除;,/v./@撤銷;,/v./@廢止;,/v./@放棄;,/v./@否定;
repeat ,/v./@重復;
report ,/v./@報告;,/v./@报导;
repose ,/n.//v./@休息;
repute ,/n./@名譽;,/n./@聲望;
rescue ,/v./@營救;
resent ,/vt./@怨恨;,/v./@忿恨;
reside ,/v./@居住;,/v./@存在;
resign ,/v./@辭職;
resist ,/v./@拒絕;
resort ,/v./@求助;
result ,/n./@結果;,/n./@後果;,/n./@效果;
resume ,/v./@繼續;,/n./@摘要;
retail ,/v./@零售;
retain ,/v./@保持;
retard ,/v./@延遲;,/v./@減緩;
retina ,/n./@視網膜;
retire ,/v./@退休;
return ,/v./@返回;,/v./@歸還;
reveal ,/v./@出現;,/v./@揭露;
revere ,/v./@敬畏;,/v./@尊敬;,/v./@崇敬;
revert ,/v./@囬復;,/v./@重提;
revery ,/n./@空想;
review ,/v./@復習;,/v./@回顧;
revile ,/vt./@辱罵;
revise ,/v./@修訂;,/v./@復習;
revoke ,/vt./@撤回;,/v./@取消;,/v./@廢除;,/v./@有牌不跟;
revolt ,/n./@起義;,/v./@反抗;
reward ,/v./@獎勵;
rewind ,/v./@重繞;,/v./@倒回;
rhythm ,/n./@旋律;,/n./@節奏;
ribald ,/adj./@下流的;,/adj./@粗俗的;,/adj./@猥褻的;
ribbon ,/n./@帶;,/n./@緞帶;
riddle ,/n./@字謎;
riffle ,/n./@淺灘;,/n./@急流;,/v./@翻閲;,/v./@洗牌;
rights ,/n./@權利;
robber ,/n./@強盜;
Robert ,/n./@羅伯特;
robust ,/adj./@健壯的;,/adj./@強壯的;
rocket ,/n./@火箭;
roller ,/n./@滾筒;
roster ,/n./@花名册;,/n./@登记表;
rotary ,/adj./@旋轉的;
rotate ,/v./@旋轉;
rubber ,/n./@橡膠;,/n./@橡皮;
rubble ,/n./@碎石;,/n./@碎磚;
ruffle ,/v./@弄皺;,/v./@惹怒;,/v./@擾亂;
rumble ,/n./@隆隆聲;,/v./@隆隆響;
sacred ,/adj./@神聖的;
saddle ,/n./@馬鞍;
safari ,/n./@旅行;,/n./@狩獵;,/n./@遠征;
safety ,/n./@安全;
salary ,/n./@薪水;,/vt./@加薪;
saline ,/adj./@鹽的;,/adj./@含鹽的;,/n./@鹽水;
saliva ,/n./@唾液;
sallow ,/adj./@灰黃的;
sample ,/n./@樣品;
satire ,/n./@諷刺;,/n./@譏諷;
saturn ,/n./@農神;,/n./@土星;
saucer ,/n./@茶碟;
savage ,/adj./@野蛮的;,/adj./@残酷的;,/adj./@狂怒的;,/adj./@荒凉的;
scarce ,/adj./@缺乏的;
scathe ,/v./@損傷;,/v./@損害;,/n./@損傷;,/n./@損害;
schema ,/n./@模式;,/n./@计划;,/n./@图解;,/n./@概要;
scheme ,/n./@方案;,/n./@計劃;
school ,/n./@學校;
scorch ,/v./@燒焦;
scrape ,/v./@刮擦;
scrawl ,/v./@塗鴉;,/v./@亂塗;,/v./@亂寫;
scream ,/v./@尖叫;
screen ,/n./@屏幕;,/n./@屏;,/v./@篩選;,/v./@甄別;
scribe ,/n./@抄寫員;,/v./@寫下;,/v./@記下;,/v./@劃下;
script ,/n./@腳本;,/n./@手迹;
scroll ,/n./@捲軸;
sculpt ,/v./@雕刻;,/v./@造型;
scurry ,/v./@疾跑;,/v./@急趕;,/n./@短距賽跑;
scurvy ,/adj./@卑鄙的;,/adj./@下流的;,/n./@壞血病;
search ,/v./@搜索;,/v./@尋找;,/v./@搜查;
season ,/n./@季節;
secede ,/v./@脫離;,/v./@退出;
second ,/adj./@第二的;
secret ,/n./@秘密;
secure ,/adj./@安全的;
sedate ,/adj./@安靜的;
seduce ,/v./@誘惑;
seemly ,/adj./@適當的;
seesaw ,/n./@蹺蹺板;
seldom ,/adv./@不常;,/adv./@難得;
select ,/v./@挑選;,/v./@选择;
semper ,/adv./@永遠;
senate ,/n./@參議院;
senior ,/adj./@髙級的;
sentry ,/n./@哨兵;,/n./@崗哨;
sequel ,/n./@結局;,/n./@續篇;
serene ,/adj./@平靜的;,/adj./@清澈的;
series ,/n./@係列;
serval ,/n./@藪貓;
settle ,/v./@解決;,/v./@定居;,/v./@安排;
severe ,/adj./@嚴峻的;
sexual ,/adj./@性的;
shabby ,/adj./@破舊的;,/adj./@卑鄙的;,/adj./@吝嗇的;,/adj./@低劣的;
shadow ,/n./@影子;
shaver ,/n./@剃須刀;
sheath ,/n./@鞘;,/n./@护套;
shield ,/n./@防護;,/n./@盾;
shiver ,/v./@顫抖;
should ,/aux./@應該;
shovel ,/n./@鏟子;
shower ,/n./@淋浴;,/n./@陣雨;
shrank ,/v./@收縮;
shriek ,/v./@尖叫;
shrill ,/adj./@尖銳刺耳的;
shrimp ,/n./@蝦;
shrine ,/n./@神殿;,/n./@聖地;,/n./@神龕;
shrink ,/v./@收縮;,/v./@畏縮;,/n./@心理醫生;
shroud ,/v./@覆蓋;,/v./@遮蔽;,/n./@覆蓋物;,/n./@壽衣;,/n./@裹尸布;
signal ,/n./@信號;
signor ,/n./@先生;
silent ,/adj./@寂靜的;
silver ,/n./@銀;
simple ,/adj./@簡單的;
simply ,/adv./@簡單的;,/adv./@僅僅;
singer ,/n./@歌手;
single ,/adj./@單;
sinner ,/n./@罪犯;
sister ,/n./@姐妹;
sketch ,/n./@速寫;,/n./@素描;,/n./@草圖;
skewed ,/adj./@歪的;
skinny ,/adj./@機密的;
sledge ,/n./@雪橇;,/n./@大錘;
sleepy ,/adj./@欲睡的;,/adj./@困乏的;
sleeve ,/n./@袖子;
slight ,/adj./@稍微的;
slogan ,/n./@標語;
smooch ,/v./@接吻;,/v./@弄髒;
smooth ,/adj./@光滑的;,/adj./@順利的;
smudge ,/v./@弄髒;
snatch ,/v./@搶奪;,/v./@奪取;
sneeze ,/v./@打噴嚏;
sniper ,/n./@狙擊手;
snitch ,/v./@告密;,/v./@偷;,/n./@告密者;
snooty ,/adj./@傲慢的;,/adj./@自大的;,/adj./@目中無人的;
snooze ,/v./@小睡;,/v./@打盹;
soccer ,/n./@足球;
social ,/adj./@社會的;
socket ,/n./@插座;
soever ,/adj./@任何;
solemn ,/adj./@莊嚴的;
solute ,/n./@溶質;,/n./@溶解物;
sonnet ,/n./@十四行詩;
sooner ,/adv./@更快;
sordid ,/adj./@骯髒的;,/adj./@卑鄙的;,/adj./@暗淡的;
sorrow ,/n./@悲傷;
source ,/n./@源頭;
soviet ,/n./@蘇維埃;
sparse ,/adj./@稀疏的;,/adj./@稀少的;
specie ,/v./@硬幣;
speech ,/n./@演說;,/n./@語音;,/n./@講話;
sphere ,/n./@球體;,/n./@範圍;,/n./@領域;,/v./@包圍;
spider ,/n./@蜘蛛;
spinal ,/adj./@脊椎的;,/adj./@脊髓的;,/adj./@脊柱的;,/adj./@脊骨的;,/adj./@尖刺的;
spirit ,/n./@精神;
splash ,/v./@濺;,/v./@潑;
sponge ,/n./@海綿;
sports ,/n./@運動;
spouse ,/n./@配偶;
spread ,/v./@傳播;
spring ,/n./@春;,/n./@泉;
sprint ,/v./@衝刺;
sprite ,/n./@妖精;,/n./@精靈;
squall ,/v./@嚎啕;,/v./@尖叫;
square ,/adj./@平方的;,/adj./@方形的;,/n./@廣場;,/adj./@直角的;
squash ,/v./@鎮壓;
squawk ,/v./@抗議;,/v./@訴苦;
squeak ,/v./@告密;,/v./@吱吱叫;
squeal ,/v./@告密;,/v./@尖叫;
squint ,/v./@斜視;
squire ,/n./@鄉紳;,/n./@侍從;,/n./@地主;,/n./@地方法官;
squirm ,/vi./@蠕動;,/vi./@扭動;,/vi./@局促;,/vi./@扭捏;
squirt ,/v./@噴射;
stable ,/adj./@穩定的;
stance ,/n./@立場;,/n./@姿態;,/n./@位置;
starve ,/v./@挨餓;
static ,/adj./@靜態的;
statue ,/n./@雕像;
steady ,/adj./@平穩的;,/adj./@穩健的;
stench ,/n./@惡臭;
stereo ,/n./@立體聲;
sticky ,/adj./@棘手的;
stifle ,/v./@扼殺;,/v./@窒息;,/v./@藏匿;
stigma ,/n./@恥辱;,/n./@污名;
stocky ,/adj./@矮胖的;
stoned ,/v./@擲石頭;,/adj./@去核的;,/adj./@醉酒的;
storey ,/n./@樓層;
strain ,/v./@抑制;
streak ,/n./@條紋;,/v./@飛跑;
stream ,/n./@水流;
street ,/n./@街道;
stress ,/v./@強調;,/n./壓力;
strict ,/adj./@嚴格的;
stride ,/n./@大步;,/v./@大步走;
strike ,/v./@罷工;,/v./@襲擊;,/v./@突然想到;
string ,/n./@綫;,/n./@繩;,/n./@串;
stripe ,/n./@條紋;
strive ,/v./@努力;,/v./@力求;
stroke ,/n./@中風;,/v./@擊;,/v./@敲;,/v./@撫摸;,/n./@壁畫;,/v./@劃槳;
strong ,/adj./@強的;
studio ,/n./@工作室;
stupid ,/adj./@笨的;
sturdy ,/adj./@堅定的;
stymie ,/v./@妨礙;,/v./@阻撓;
subdue ,/v./@戰勝;,/v./@征服;
submit ,/v./@遞交;
subtle ,/adj./@微妙的;
suburb ,/n./@郊區;
subway ,/n./@地鐵;
suffer ,/v./@遭受;
suffix ,/n./@后綴;
summer ,/n./@夏;
summon ,/v./@召喚;,/v./@召集;
Sunday ,/n./@星期天;
sunder ,/v./@切開;,/v./@切斷;,/v./@分離;
superb ,/adj./@極好的;
supply ,/v./@供應;,/v./@供給;
survey ,/v./@調查;
swanky ,/adj./@炫耀的;
swathe ,/n./@帶子;,/v./@綁;
switch ,/v./@轉變;
symbol ,/n./@符號;,/n./@象徵;
syntax ,/n./@語法;,/n./@句法;
system ,/n./@係統;,/n./@體制;,/n./@制度;
tablet ,/n./@平板電腦;,/n./@药片;,/n./@碑;,/n./@写字板;
tackle ,/v./@應付;,/v./@阻截;,/n./@轆轤;
tactic ,/n./@策略;,/n./@戰略;
tailor ,/v./@縫製;,/v./@調整;,/n./@裁縫;
talent ,/n./@天賦;
tamper ,/v./@篡改;
tampon ,/n./@棉塞;,/n./@棉條;
tandem ,/n./@串联;,/n./@串座双人自行车;
tangle ,/v./@糾纏;
target ,/n./@目標;,/n./@靶子;
tariff ,/n./@关税;,/n./@收费表;,/n./@价目表;,/n./@资费表;
tattoo ,/n./@紋身;
tavern ,/n./@酒館;,/n./@客棧;
teapot ,/n./@茶壺;
temper ,/n./@脾氣;,/n./@回火;
tenant ,/n./@承租人;,/n./@房客;,/n./@居住者;
tender ,/adj./@溫柔的;
tennis ,/n./@網球;
tenure ,/n./@終身職位;,/n./@任期;
terran ,/n./@人族;,/n./@地球人;
terror ,/n./@恐怖;
tether ,/n./@拴繩;,/n./@係鏈;
thanks ,/n./@感謝;
that's ,/n.v./@那是;
theirs ,/pron./@他們的;
theory ,/n./@理論;
thesis ,/n./@論文;
thirst ,/n./@渴望;
Thomas ,/n./@托馬斯;
though ,/conj./@雖然;
thrash ,/vt./@打;,/vi./@打谷;
thread ,/n./@綫;,/v./@穿過;
threat ,/n./@恐嚇;
thrice ,/adv./@三次;,/adv./@三度;,/adv./@三倍;
thrift ,/n./@節儉;
thrill ,/v./(使)@激動;
thrive ,/v./@興旺;
throat ,/n./@喉嚨;
throne ,/n./@王座;
thrust ,/v./@推;,/v./@刺;
thwart ,/vt./@挫敗;
ticket ,/n./@票;,/n./@標籤;,/n./@單;
tiddly ,/adj./@很小的;
timber ,/n./@木材;
timing ,/n./@計時;,/n./@定時;,/n./@測時;,/n./@校時;
tissue ,/n./@組織;,/n./@紙巾;,/n./@薄紗;,/n./@棉紙;
titter ,/v./@竊笑;
toggle ,/n./@開關;,/n./@觸發器;,/n./@拴扣;,/n./@套索釘;,/v./@拴牢;,/v./@係緊;
toilet ,/n./@廁所;
tomato ,/n./@番茄;
tongue ,/n./@舌;,/n./@語言;
topple ,/v./@推倒;,/v./@顛覆;
torpor ,/n./@冷漠;
toward ,/prep./@向;
tragic ,/adj./@悲慘的;
trance ,/n./@怳惚;
travel ,/n./@旅行;
treaty ,/n./@條約;
tremor ,/n./@震動;
trendy ,/adj./@時髦的;
treson ,/n./@叛國罪;,/n./@背叛;
triage ,/n./@分類;,/v./@分類;,/v./@應急分配;
trifle ,/n./@瑣事;
triple ,/adj.//pref./@三的;
trivia ,/n./@瑣事;
tumble ,/v./@跌倒;,/v./@摔跤;,/v./@打滾;
tumult ,/n./@混乱;,/n./@骚乱;,/n./@喧闹;,/n./@喧哗;,/#syn/@turmoil;
tunnel ,/n./@隧道;
turnip ,/n./@蘿蔔;,/n./@蕪菁甘藍;,/n./@大頭菜;
turret ,/n./@炮塔;,/n./@角樓;,/n./@小塔;
turtle ,/n./@海龜;
twelve ,/n./@十二;
twenty ,/adj./@二十;
twitch ,/vi./@抽搐;
tyrant ,/n./@暴君;
undone ,/v./@解開;
unfair ,/adj./@不公平的;
unfold ,/v./@打開;,/v./@展開;
unhold ,/v./@釋放;
unique ,/adj./@獨一無二的;
unison ,/n./@和諧;
united ,/adj./@联合的;
unless ,/prep./@除非;
unload ,/v./@卸貨;
unlock ,/v./@解鎖;,/v./@開啓;
unreal ,/adj./@不眞實的;
unsung ,/adj./@未唱的;,/adj./@埋沒的;
unveil ,/v./@揭開;,/v./@揭露;
unwrap ,/v./@打開;,/v./@拆開;,/v./@解開;
update ,/v./@更新;
uphold ,/v./@維護;,/v./@支撑;,/v./@贊成;
uppity ,/adj./@傲慢的;,/adj./@自負的;,/adj./@自大的;
upward ,/adv./@向上;,/adj./@向上的;
urbane ,/adj./@文雅的;,/adj./@有禮貌的;,/adj./@都市化的;
urgent ,/adj./@緊迫的;,/adj./@緊急的;
useful ,/n.//adj./@有用的;
utmost ,/adj./@極度的;,/n./@極限;
Utopia ,/n./@烏托邦;
utopia ,/n./@烏托邦;
vacant ,/adj./@空的;,/adj./@空缺的;,/adj./@未佔用的;
vacuum ,/n./@眞空;
vagina ,/n./@陰道;
vainly ,/adv./@徒勞地;
valley ,/n./@山谷;
valour ,/n./@英勇;,/n./@勇猛;,/n./@勇武;
vandal ,/n./@破壞文化藝術者;
vanish ,/v./@消失;
vanity ,/n./@虛榮心;,/n./@空虛;,/n./@浮華;
vector ,/n./@矢量;,/n./@航线;
velvet ,/n./@天鵝絨;
vender ,/n./@商販;
vendor ,/n./@卖主;,/n./@小贩;,/n./@卖方;
veneer ,/n./@薄片;,/n./@外表;,/n./@虛飾;,/v./@膠合;,/n./@飾面;
verbal ,/adj./@(用)言辭的;
verify ,/v./@核實;,/v./@證實;
versus ,/prep./@對;,/prep./@對抗;
vertex ,/n./@頂點;
vessel ,/n./@船;,/n./@艦;,/n./@血管;,/n./@容器;
viable ,/adj./@可行的;,/adj./@可存活的;,/adj./@可生育的;
victim ,/n./@受害者;
vilify ,/v./@誹謗;,/v./@辱駡;
violet ,/n./@紫羅蘭;,/n./@紫色;,/adj./@紫色的;
violin ,/n./@小提琴;
virgin ,/n./@處女;
virtue ,/n./@美德;
vision ,/n./@想象;,/n./@景象;,/n./@視力;
visual ,/adj./@視覺的;
volume ,/n./@容量;,/n./@體積;,/n./@音量;,/n./@卷;,/v./@卷起;
vortex ,/n./@渦流;,/n./@漩渦;,/n./@中心;,/n./@旋風;
voyage ,/n./@航行;,/n./@航海;,/n./@航空;
vulgar ,/adj./@粗俗的;,/n./@平民;
waffle ,/n./@華夫;,/v./@胡扯;,/v./@閒聊;
waiter ,/n./@侍者;,/n./@服務員;
wallet ,/n./@錢包;
wasn't ,/v./@不是;
